"","Blood","TumorCore","TumorEdge"
"RN7SL180P",30,11,22
"L1TD1",9,4,6
"KANK4",0,0,0
"USP1",939,604,882
"DOCK7",100,37,72
"ANGPTL3",0,3,2
"RP5-849H19.3",2,1,0
"RP5-849H19.2",0,1,1
"RP11-230B22.1",0,0,1
"ATG4C",159,88,158
"FOXD3-AS1",0,1,0
"FOXD3",0,0,1
"ALG6",186,121,248
"ITGB3BP",306,195,328
"EFCAB7",52,35,49
"DLEU2L",31,17,24
"PGM1",246,226,351
"RN7SL130P",14,7,14
"ROR1",0,0,0
"ROR1-AS1",0,0,0
"CACHD1",0,0,0
"RAVER2",14,2,11
"JAK1",4287,3403,5232
"RP11-182I10.2",0,0,0
"LINC01359",8,1,1
"SLC2A3P2",0,0,0
"RP4-535B20.4",2,1,1
"RP4-535B20.1",2,3,0
"AK4",5,5,8
"DNAJC6",8,1,3
"LEPROT",741,549,858
"LEPR",23,25,20
"RP4-630A11.3",3,2,9
"PDE4B",438,1476,2259
"SGIP1",0,0,1
"TCTEX1D1",1,0,0
"WDR78",16,6,11
"MIER1",1091,1224,1865
"SLC35D1",73,87,143
